i, j, x, y
0, 0, -0.0071023628, 6.1939448269
0, 1, -0.1173397344, 0.1962351227
0, 2, -0.1037251208, 6.0944916936
0, 3, -0.0750636559, 6.1609007537
0, 4, 0.5699868654, 0.0836974777
0, 5, 0.3336753325, 0.6658425713
1, 0, 0.5373086238, 3.0280011016
1, 1, -0.0662383234, 5.9894313364
1, 2, 0.2429899042, 0.3312227523
1, 3, 0.1632951863, 0.2287394451
1, 4, 0.2498919682, 0.7390076047
1, 5, -0.5879834242, 3.9062850874
2, 0, -0.2639450544, 5.8760517710
2, 1, 0.0481990502, 3.1754823103
2, 2, 0.3046059170, 0.1527149733
2, 3, -0.1914074287, 5.6785539312
2, 4, 0.0899101024, 6.1455180894
2, 5, 0.3589118237, 0.4007586689
3, 0, -0.7747551191, 0.4570416478
3, 1, -0.5562042956, 6.0995365368
3, 2, -0.5016381737, 5.5924430537
3, 3, -0.1808328276, 6.1861996374
3, 4, 0.3648418986, 2.8890587506
3, 5, 0.1948849523, 0.1837950117
4, 0, 0.0490905281, 0.3486821868
4, 1, -0.1654572379, 0.1531782111
4, 2, -0.6585243415, 0.5226348806
4, 3, 0.1669819357, 0.3770012645
4, 4, -0.5885933099, 5.9844370307
4, 5, -0.1727682673, 0.2240742238
5, 0, 0.2240125341, 0.1192241849
5, 1, 0.2987121063, 0.0590402088
5, 2, 0.9823024440, 5.9081868357
5, 3, 0.1009582217, 0.3056960689
5, 4, 0.0999368302, 0.1662774783
5, 5, -0.1671040444, 0.1328085433
